[20-Jul-2017 23:20:34 UTC] PHP Notice:  unserialize(): Error at offset 0 of 362 bytes in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/plugin-upgrade.php on line 168
[20-Jul-2017 23:20:34 UTC] PHP Notice:  Undefined index: is_valid_key in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/plugin-upgrade.php on line 170
[20-Jul-2017 23:20:34 UTC] PHP Notice:  Undefined index: version in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/plugin-upgrade.php on line 171
[20-Jul-2017 23:20:34 UTC] PHP Notice:  Undefined index: package in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/plugin-upgrade.php on line 172
[20-Jul-2017 23:20:34 UTC] PHP Notice:  Undefined index: version_details in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/plugin-upgrade.php on line 173
[20-Jul-2017 23:20:34 UTC] PHP Notice:  Undefined index: live_secret_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2790
[20-Jul-2017 23:20:34 UTC] PHP Notice:  Undefined index: live_publishable_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2816
[20-Jul-2017 23:25:21 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_columns() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[20-Jul-2017 23:25:21 UTC] PHP Strict Standards:  Non-static method GFPMoreStripe::get_all_stripe_feeds() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/more-stripe.php on line 1791
[20-Jul-2017 23:25:21 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_column_stripe() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[20-Jul-2017 23:26:22 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_columns() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[20-Jul-2017 23:26:22 UTC] PHP Strict Standards:  Non-static method GFPMoreStripe::get_all_stripe_feeds() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/more-stripe.php on line 1791
[20-Jul-2017 23:26:22 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_column_stripe() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:03:00 UTC] WP_Community_Events::maybe_log_events_response: Valid response received. Details: {"api_url":"https:\/\/api.wordpress.org\/events\/1.0\/","request_args":{"body":{"number":5,"ip":"129.120.96.0","locale":"en_US","timezone":"America\/Chicago"}},"response_code":200,"response_body":{"location":{"ip":"129.120.96.0"},"events":"5 events trimmed."}}
[21-Jul-2017 00:11:51 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_columns() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:11:51 UTC] PHP Strict Standards:  Non-static method GFPMoreStripe::get_all_stripe_feeds() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/more-stripe.php on line 1791
[21-Jul-2017 00:11:51 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_column_stripe() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:12:14 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:12:14 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:18:04 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:18:04 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:19:50 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_columns() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:19:50 UTC] PHP Strict Standards:  Non-static method GFPMoreStripe::get_all_stripe_feeds() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/more-stripe.php on line 1791
[21-Jul-2017 00:19:50 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_column_stripe() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:19:54 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:19:54 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:23:32 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:23:32 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:28:00 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_columns() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:28:00 UTC] PHP Strict Standards:  Non-static method GFPMoreStripe::get_all_stripe_feeds() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravityforms-stripe-more/more-stripe.php on line 1791
[21-Jul-2017 00:28:00 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_column_stripe() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:29:01 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:29:01 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:35:15 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:35:15 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:35:39 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:35:39 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:38:59 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:38:59 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:39:19 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[21-Jul-2017 00:39:19 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[21-Jul-2017 00:42:29 UTC] PHP Notice:  get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /home/marcgrat/staging/2/wp-includes/functions.php on line 3831
[21-Jul-2017 00:46:24 UTC] PHP Notice:  get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /home/marcgrat/staging/2/wp-includes/functions.php on line 3831
